store_name,birthdate,purchases_qty
G Coffee @ Alam Tun Hussein Onn,1969-07-31,6
G Coffee @ Alam Tun Hussein Onn,1972-11-18,6
G Coffee @ Alam Tun Hussein Onn,1976-12-06,6
G Coffee @ Alam Tun Hussein Onn,1977-07-12,6
G Coffee @ Alam Tun Hussein Onn,1978-01-21,6
G Coffee @ Alam Tun Hussein Onn,1978-12-22,6
G Coffee @ Alam Tun Hussein Onn,1978-12-25,6
G Coffee @ Alam Tun Hussein Onn,1980-12-08,6
G Coffee @ Alam Tun Hussein Onn,1986-01-25,6
G Coffee @ Alam Tun Hussein Onn,1988-01-23,6
G Coffee @ Alam Tun Hussein Onn,1989-03-04,6
G Coffee @ Alam Tun Hussein Onn,1990-03-10,6
G Coffee @ Alam Tun Hussein Onn,1990-05-18,6
G Coffee @ Alam Tun Hussein Onn,1992-10-06,6
G Coffee @ Alam Tun Hussein Onn,1998-04-25,6
G Coffee @ Alam Tun Hussein Onn,1999-05-18,6
G Coffee @ Alam Tun Hussein Onn,1999-07-21,6
G Coffee @ Alam Tun Hussein Onn,2002-03-16,6
G Coffee @ Alam Tun Hussein Onn,2002-04-17,6
G Coffee @ Alam Tun Hussein Onn,2004-09-06,6
G Coffee @ Alam Tun Hussein Onn,2004-12-12,6
G Coffee @ Alam Tun Hussein Onn,2006-12-07,6
G Coffee @ Alam Tun Hussein Onn,1966-04-05,7
G Coffee @ Alam Tun Hussein Onn,1977-02-12,7
G Coffee @ Alam Tun Hussein Onn,1980-03-17,7
G Coffee @ Alam Tun Hussein Onn,1981-12-15,7
G Coffee @ Alam Tun Hussein Onn,1983-04-03,7
G Coffee @ Alam Tun Hussein Onn,1983-04-09,7
G Coffee @ Alam Tun Hussein Onn,1984-08-25,7
G Coffee @ Alam Tun Hussein Onn,1985-12-21,7
G Coffee @ Alam Tun Hussein Onn,2006-04-13,7
G Coffee @ Alam Tun Hussein Onn,2007-06-04,7
G Coffee @ Alam Tun Hussein Onn,1973-10-31,8
G Coffee @ Alam Tun Hussein Onn,1997-08-10,8
G Coffee @ Alam Tun Hussein Onn,2006-01-28,8
G Coffee @ Bandar Seri Mulia,1966-09-03,6
G Coffee @ Bandar Seri Mulia,1967-02-08,6
G Coffee @ Bandar Seri Mulia,1967-04-27,6
G Coffee @ Bandar Seri Mulia,1968-01-16,6
G Coffee @ Bandar Seri Mulia,1969-12-15,6
G Coffee @ Bandar Seri Mulia,1970-09-02,6
G Coffee @ Bandar Seri Mulia,1974-05-30,6
G Coffee @ Bandar Seri Mulia,1976-05-04,6
G Coffee @ Bandar Seri Mulia,1981-07-05,6
G Coffee @ Bandar Seri Mulia,1982-01-01,6
G Coffee @ Bandar Seri Mulia,1982-04-28,6
G Coffee @ Bandar Seri Mulia,1982-08-31,6
G Coffee @ Bandar Seri Mulia,1982-12-08,6
G Coffee @ Bandar Seri Mulia,1985-08-25,6
G Coffee @ Bandar Seri Mulia,1986-05-07,6
G Coffee @ Bandar Seri Mulia,1987-01-14,6
G Coffee @ Bandar Seri Mulia,1988-04-30,6
G Coffee @ Bandar Seri Mulia,1991-01-31,6
G Coffee @ Bandar Seri Mulia,1991-05-01,6
G Coffee @ Bandar Seri Mulia,1998-04-01,6
G Coffee @ Bandar Seri Mulia,1998-10-09,6
G Coffee @ Bandar Seri Mulia,1999-08-18,6
G Coffee @ Bandar Seri Mulia,2000-07-25,6
G Coffee @ Bandar Seri Mulia,2000-11-07,6
G Coffee @ Bandar Seri Mulia,2004-07-08,6
G Coffee @ Bandar Seri Mulia,2006-01-15,6
G Coffee @ Bandar Seri Mulia,2009-06-02,6
